Neighbourhoods,Latitude,Longitude
Admiralenbuurt,52.372734366277776,4.856363324463683
Amsteldorp,52.36053999495108,4.905160036643774
Amsterdam Oud-West,52.36539000000005,4.870220000000074
Amsterdam Oud-Zuid,52.35235000000006,4.8778800000000615
Amsterdam Science Park,52.35432000000003,4.958030000000065
Apollobuurt,52.3502983469068,4.868131315191405
Betondorp,52.423407,4.8333960000000165
Bijlmermeer,52.309891307795496,4.9744197951663
Binnenstad,52.372160000000065,4.9043700000000285
Bos en Lommer,52.37919000000005,4.8517400000000634
Buiksloot,52.408070000000066,4.918960000000027
Buikslotermeer,52.396389977783066,4.935390015580615
Buitenveldert,52.33093000000008,4.875180000000057
Bullewijk,52.30486817046341,4.950105482979688
Burgwallen Nieuwe Zijde,52.3881068403939,4.968097064532244
Burgwallen Oude Zijde,52.37169000000006,4.8972400000000675
Chassébuurt,52.36918565463759,4.861479786899981
Cruquiuseiland,52.36993000000007,4.907880000000034
Czaar Peterbuurt,52.369760019908455,4.928991749234822
Dapperbuurt,52.362774487416154,4.927368239783042
De Aker,52.352813911885875,4.7767431053451
De Pijp,52.356250000000045,4.890570000000025
De Wallen,52.37169000000006,4.8972400000000675
Diamantbuurt,52.35112364798337,4.906146842164572
Duivelseiland,52.35375997446482,4.884449945034446
Eastern Docklands,52.3870833012636,4.905940096361653
Eendracht,52.381560000000036,4.784840000000031
Floradorp,52.36993000000007,4.907880000000034
Frederik Hendrikbuurt,52.37864550000001,4.877718750000003
Gaasperdam,52.29679992339437,4.978120022217037
Geuzenveld,52.371898330062976,4.842634891022987
Gouden Reael,52.326081000000016,4.86535275000001
Grachtengordel,52.36993000000007,4.907880000000034
Haarlemmerbuurt,52.38500582212105,4.881932251652451
Hoofddorppleinbuurt,52.35159235253331,4.8502020322669415
Houthaven,52.394866324487964,4.8785380285679425
IJburg,52.365758527582294,4.975538837514228
Indische Buurt,52.40239000000008,4.649700000000053
Java-eiland,52.36993000000007,4.907880000000034
Jodenbuurt,52.363000000000056,4.884360000000072
Jordaan,52.376869970569686,4.879269999423112
Kadijken,52.36993000000007,4.907880000000034
Kadoelen,52.41010995946117,4.906780070546169
Kinkerbuurt,52.36470000000001,4.859795250000002
KNSM Island,52.36993000000007,4.907880000000034
Kolenkit District,52.37766000000005,4.842810000000043
Landelijk Noord,52.400720000000035,4.9352700000000596
Landlust,52.34657573902455,4.97301955601028
Lastage,52.36922000000004,4.905680000000075
Middelveldsche Akerpolder,52.34176585505865,4.796773927529317
Molenwijk,52.42101360078679,4.890154938582586
Museumkwartier,52.36229000000003,4.923910000000035
NDSM,52.40014342123065,4.897115579121155
Negen Straatjes,52.36993000000007,4.907880000000034
Nieuw Sloten,52.34561006939235,4.811919923394392
Nieuwe Pijp,52.3619961283768,4.799175435811606
Nieuwendam,52.3881068403939,4.968097064532244
Nieuwendammerdijk en Buiksloterdijk,52.38674765878412,4.947710024492743
Olympisch Kwartier,52.36993000000007,4.907880000000034
Omval,52.34405613945412,4.914577956100409
Oostelijke Eilanden,52.36856995614296,4.928600054965643
Oosterdokseiland,52.36993000000007,4.907880000000034
Oosterparkbuurt,52.359470000000044,4.922980000000052
Oostoever,52.37000006217901,4.830459988314614
Oostpoort,52.35674000000006,4.927790000000073
Oostzanerwerf,52.42536466591567,4.885640178532574
Osdorp,52.35636000000005,4.79060000000004
Oud Osdorp,52.35636000000005,4.79060000000004
Oud-Oost,52.36013000000003,4.925320000000056
Oude Pijp,52.356250000000045,4.890570000000025
Overhoeks,52.39168003332555,4.905780077182666
Overtoombuurt,52.35958213020873,4.862307163498111
Overtoomse Veld,52.36354004385713,4.836800000000039
Plantage,52.366620018321946,4.911889977783038
Prinses Irenebuurt,52.34176862827224,4.875223825915346
Ransdorp,52.39306000000005,4.994260000000054
Rieteilanden,52.36993000000007,4.907880000000034
Rivierenbuurt,53.20617000000004,6.566960000000051
Ruigoord,52.40999165331151,4.74925192724246
Schellingwoude,52.384190000000046,4.963850000000036
Schinkelbuurt,52.35165950980498,4.852856926093848
Slotermeer,52.381041025926756,4.8211463447461655
Slotervaart,52.35236000000003,4.832320000000038
Spaarndammerbuurt,52.38868596882262,4.879932602740655
Staatsliedenbuurt,52.38004997446484,4.871489963356301
Stadionbuurt,52.349520705369976,4.8846805402029725
Steigereiland,52.36993000000007,4.907880000000034
Teleport,52.38770000000005,4.8418700000000285
Transvaalbuurt,52.393080000000054,4.645550000000071
Trompbuurt,52.363000000000056,4.884360000000072
Tuindorp Nieuwendam,52.3881068403939,4.968097064532244
Tuindorp Oostzaan,52.41321000000005,4.888060000000053
Uilenburg,52.3693670939422,4.902750311733724
Venserpolder,52.326730000000055,4.945590000000038
Watergraafsmeer,52.354280000000074,4.929670000000044
Waterwijk,52.38283668890502,4.869083670841872
Weesperzijde,52.35367311643281,4.909461412440483
Westelijk Havengebied,52.40578000000005,4.784290000000055
Westelijke Eilanden,52.36856995614296,4.928600054965643
Westelijke Tuinsteden,52.36993000000007,4.907880000000034
Westerpark,52.385890000000074,4.8748200000000566
Willemspark,52.356367003422186,4.871988483069141
Zeeburgereiland,52.36993000000007,4.907880000000034
Zeeheldenbuurt,53.213490000000036,6.5509400000000255
Zuidas,52.33669000000003,4.875920000000065
